entry_id,is_relevant,feas_pa,feas_ka,feas_cr,feas_sr
4,No,,,,
9,No,,,,
14,No,,,,
19,No,,,,
24,No,,,,
29,Yes,1,1,1,3
34,No,,,,
39,No,,,,
44,Yes,1,1,1,1
49,Yes,1,1,1,1
54,Yes,1,1,3,3
59,Yes,1,1,1,2
64,Yes,1,1,1,5
69,No,,,,
74,No,,,,
79,No,,,,
84,Yes,1,1,1,1
89,Yes,1,1,1,1
94,Yes,1,1,1,1
99,Yes,1,1,1,2
104,No,,,,
109,Yes,1,1,1,1
114,No,,,,
119,No,,,,
124,No,,,,
129,No,,,,
134,Yes,1,1,1,1
139,Yes,1,1,1,1
144,No,,,,
149,No,,,,
154,Yes,5,1,1,1
159,No,,,,
164,Yes,3,1,1,5
169,Yes,3,1,1,5
174,No,,,,
179,Yes,1,1,1,1
184,Yes,1,1,1,1
189,Yes,1,1,1,1
194,Yes,1,1,1,1
199,Yes,1,1,1,1
204,Yes,1,1,1,1
209,No,,,,
214,Yes,1,1,1,1
219,No,,,,
224,No,,,,
229,Yes,1,1,1,3
234,No,,,,
239,No,,,,
244,No,,,,
249,Yes,1,1,1,1
254,Yes,1,1,1,1
259,No,,,,
264,Yes,1,1,1,1
269,Yes,1,1,1,1
274,No,,,,
279,Yes,1,1,1,1
284,No,,,,
289,Yes,4,1,1,1
294,No,,,,
299,No,,,,
304,Yes,1,1,1,3
309,Yes,1,1,1,5
314,Yes,1,1,1,3
319,No,,,,
324,No,,,,
329,Yes,1,1,1,1
334,Yes,1,2,1,1
339,Yes,5,1,1,1
344,Yes,1,1,1,1
349,Yes,1,1,1,1
354,Yes,1,1,1,1
359,No,,,,
364,Yes,1,1,1,1
369,Yes,3,1,1,1
374,No,,,,
379,No,,,,
384,Yes,3,3,1,1
389,Yes,1,1,1,1
394,Yes,3,1,1,1
399,No,,,,
404,No,,,,
409,Yes,1,1,1,1
414,No,,,,
419,Yes,3,1,1,1
424,No,,,,
429,Yes,1,1,1,1
434,No,,,,
439,Yes,1,1,1,1
444,Yes,1,1,1,1
449,No,,,,
454,Yes,4,1,1,1
459,Yes,1,1,1,1
464,No,,,,
469,Yes,2,1,1,1
474,No,,,,
479,Yes,3,1,1,1
484,Yes,1,1,1,1
489,No,,,,
494,No,,,,
499,Yes,1,1,1,1
504,Yes,1,1,1,1
509,Yes,1,1,1,1
514,No,,,,
519,Yes,1,1,1,1
524,Yes,1,1,1,1
529,Yes,3,1,1,1
534,Yes,1,1,1,5
539,Yes,1,1,1,1
544,No,,,,
549,Yes,1,1,1,1
554,Yes,3,1,5,1
559,Yes,1,1,1,1
564,Yes,,,,
569,Yes,1,1,1,1
574,Yes,1,1,1,1
579,Yes,3,1,1,1
584,Yes,1,1,1,1
589,Yes,1,1,1,1
594,Yes,1,1,1,1
599,Yes,1,1,1,1
604,No,,,,
609,Yes,1,1,1,1
614,No,,,,
619,Yes,1,1,1,1
624,Yes,1,1,1,1
629,Yes,3,1,1,1
634,Yes,2,1,1,1
639,No,,,,
644,No,,,,
649,No,,,,
654,No,,,,
659,Yes,1,1,1,1
664,No,,,,
669,No,,,,
674,Yes,1,1,1,1
679,Yes,1,1,1,1
684,No,,,,
689,Yes,1,1,1,1
694,No,,,,
699,No,,,,
704,No,,,,
709,Yes,1,1,1,1
714,No,,,,
719,Yes,1,1,1,1
724,Yes,1,1,1,1
729,No,,,,
734,No,,,,
739,No,,,,
744,No,,,,
749,No,,,,
754,No,,,,
759,No,,,,
764,Yes,1,1,2,1
769,Yes,1,1,2,1
774,No,,,,
779,Yes,1,1,2,1
784,No,,,,
789,No,,,,
794,No,,,,
799,No,,,,
804,No,,,,
809,Yes,1,1,1,1
814,No,,,,
819,No,,,,
824,No,,,,
829,No,,,,
834,Yes,2,1,2,1
839,No,,,,
844,Yes,1,1,1,2
849,Yes,2,2,2,1
854,Yes,1,1,1,1
859,Yes,1,1,2,1
864,No,,,,
869,No,,,,
874,Yes,1,1,1,4
879,Yes,2,2,1,1
884,No,,,,
889,No,,,,
894,Yes,1,1,2,1
899,Yes,1,2,1,1
904,No,,,,
909,No,,,,
914,Yes,3,2,1,1
919,No,,,,
924,Yes,3,2,2,1
929,No,,,,
934,No,,,,
939,No,,,,
944,No,,,,
949,Yes,1,1,1,1
954,Yes,2,2,1,1
959,No,,,,
964,Yes,2,1,1,1
969,No,,,,
974,Yes,2,1,1,1
979,Yes,3,2,1,1
984,Yes,1,2,1,1
989,Yes,2,2,1,1
994,No,,,,
999,Yes,2,1,1,1
1004,Yes,3,2,1,1
1009,No,,,,
1014,Yes,1,1,2,1
1019,No,,,,
1024,Yes,1,1,1,1
1029,Yes,1,1,2,1
1034,Yes,1,1,1,3
1039,Yes,1,1,1,2
1044,Yes,1,1,2,1
1049,No,,,,
1054,Yes,1,1,1,1
1059,No,,,,
1064,No,,,,
1069,No,,,,
1074,Yes,1,1,1,1
1079,Yes,1,1,2,3
1084,Yes,1,1,2,2
1089,No,,,,
1094,Yes,2,1,1,1
1099,No,,,,
1104,No,,,,
1109,Yes,1,1,1,1
1114,No,,,,
1119,Yes,1,1,1,2
1124,No,,,,
1129,Yes,1,1,1,1
1134,No,,,,
1139,Yes,3,1,1,1
1144,No,,,,
1149,No,,,,
1154,Yes,1,1,1,3
1159,Yes,1,1,1,2
1164,Yes,1,1,1,2
1169,Yes,1,1,1,1
1174,No,,,,
1179,Yes,1,1,2,2
1,No,,,,
8,Yes,1,1,2,2
16,No,,,,
23,No,,,,
31,No,,,,
38,No,,,,
46,Yes,2,1,2,1
53,No,,,,
61,Yes,2,1,2,1
68,Yes,2,2,3,1
76,No,,,,
83,No,,,,
91,Yes,1,1,2,1
98,Yes,1,1,2,1
106,No,,,,
113,Yes,1,1,1,1
121,Yes,1,1,1,5
128,No,,,,
136,Yes,1,1,2,2
143,Yes,1,1,2,1
151,Yes,2,1,1,2
158,Yes,1,1,1,2
166,Yes,1,1,1,3
173,Yes,1,1,1,1
181,Yes,1,1,1,1
188,Yes,1,1,1,2
196,No,,,,
203,Yes,1,1,1,1
211,No,,,,
218,Yes,1,1,1,1
226,Yes,1,1,1,2
233,Yes,1,1,2,1
241,No,,,,
248,Yes,1,1,1,1
256,Yes,1,1,2,1
263,No,,,,
271,Yes,1,1,1,2
278,Yes,1,1,1,1
286,No,,,,
293,No,,,,
301,Yes,1,1,1,1
308,No,,,,
316,No,,,,
323,No,,,,
331,No,,,,
338,No,,,,
346,No,,,,
353,No,,,,
361,Yes,1,1,1,3
368,No,,,,
376,No,,,,
383,Yes,1,1,1,1
391,No,,,,
398,No,,,,
406,No,,,,
413,No,,,,
421,No,,,,
428,Yes,1,1,1,1
436,Yes,2,1,1,1
443,No,,,,
451,No,,,,
458,No,,,,
466,No,,,,
473,Yes,1,1,1,1
481,Yes,2,2,1,1
488,No,,,,
496,Yes,2,2,1,1
503,Yes,4,2,1,1
511,No,,,,
518,No,,,,
526,No,,,,
533,No,,,,
541,Yes,4,2,1,1
548,Yes,,,,
556,Yes,1,1,1,2
563,Yes,2,2,1,2
571,Yes,2,1,1,1
578,Yes,1,3,1,1
586,Yes,1,3,1,1
593,Yes,1,1,2,1
601,No,,,,
608,Yes,2,1,1,2
616,No,,,,
623,Yes,1,2,2,1
631,Yes,1,1,1,1
638,No,,,,
646,No,,,,
653,Yes,1,1,1,1
661,Yes,2,2,2,2
668,No,,,,
676,Yes,2,1,2,1
683,Yes,1,1,1,1
691,Yes,2,1,1,1
698,Yes,1,1,1,1
706,Yes,2,1,2,2
713,No,,,,
721,No,,,,
728,Yes,1,1,1,1
736,Yes,1,2,1,1
743,Yes,1,1,1,2
751,Yes,2,1,2,1
758,Yes,1,1,1,1
766,Yes,2,2,1,1
773,Yes,1,1,1,2
781,Yes,1,1,2,2
788,No,,,,
796,Yes,1,1,2,1
803,Yes,1,1,1,1
811,Yes,1,1,1,1
818,No,,,,
826,No,,,,
833,Yes,1,1,1,2
841,No,,,,
848,Yes,1,1,3,1
856,Yes,1,1,1,2
863,No,,,,
871,Yes,2,1,1,1
878,Yes,1,1,1,1
886,No,,,,
893,No,,,,
901,Yes,1,1,1,1
908,Yes,1,1,1,2
916,Yes,1,1,1,2
923,Yes,2,1,2,1
931,Yes,1,2,1,1
938,No,1,1,1,1
946,No,,,,
953,No,,,,
961,No,,,,
968,Yes,1,1,1,1
976,Yes,1,1,1,1
983,Yes,2,2,1,1
991,No,,,,
998,Yes,1,1,1,3
1006,Yes,2,2,1,1
1013,Yes,1,1,1,1
1021,Yes,1,1,3,2
1028,Yes,3,2,1,1
1036,Yes,1,1,1,1
1043,Yes,2,1,3,1
1051,Yes,1,1,1,3
1058,No,,,,
1066,Yes,2,2,1,1
1073,Yes,1,1,1,2
1081,Yes,2,1,2,1
1088,Yes,1,1,2,1
1096,No,,,,
1103,Yes,1,1,1,2
1111,Yes,1,1,1,1
1118,Yes,1,1,1,2
1126,No,,,,
1133,No,,,,
1141,No,,,,
1148,No,,,,
1156,No,,,,
1163,Yes,1,1,1,1
1171,Yes,2,2,2,1
1178,Yes,2,1,2,1
