entry_id,is_relevant,feas_pa,feas_ka,feas_cr,feas_sr
4,No,,,,
9,Yes,1,1,3,1
14,No,,,,
19,Yes,4,4,3,1
24,No,,,,
29,Yes,1,1,1,1
34,Yes,1,1,1,1
39,Yes,1,1,1,1
44,Yes,3,2,2,1
49,No,,,,
54,Yes,1,1,1,1
59,Yes,1,1,1,1
64,Yes,1,1,1,1
69,No,,,,
74,No,,,,
79,Yes,1,1,1,1
84,No,,,,
89,No,,,,
94,No,,,,
99,Yes,1,1,1,1
104,Yes,4,2,1,1
109,Yes,1,1,1,1
114,Yes,1,1,1,1
119,Yes,3,2,2,1
124,Yes,5,3,2,1
129,Yes,5,3,2,1
134,No,,,,
139,Yes,1,1,1,1
144,No,,,,
149,No,,,,
154,Yes,3,2,2,1
159,No,,,,
164,No,,,,
169,No,,,,
174,No,,,,
179,No,,,,
184,No,,,,
189,No,,,,
194,No,,,,
199,No,,,,
204,Yes,1,1,1,1
209,No,,,,
214,No,,,,
219,No,,,,
224,No,,,,
229,No,,,,
234,No,,,,
239,No,,,,
244,No,,,,
249,Yes,1,1,1,1
254,No,,,,
259,No,,,,
264,No,,,,
269,No,,,,
274,Yes,1,1,1,1
279,No,,,,
284,No,,,,
289,No,,,,
294,No,,,,
299,No,,,,
304,No,,,,
309,No,,,,
314,No,,,,
319,No,,,,
324,No,,,,
329,No,,,,
334,No,,,,
339,No,,,,
344,Yes,1,1,1,1
349,No,,,,
354,No,,,,
359,Yes,3,1,1,1
364,No,,,,
369,Yes,3,3,1,1
374,No,,,,
379,No,,,,
384,No,,,,
389,Yes,1,1,1,1
394,No,,,,
399,No,,,,
404,No,,,,
409,Yes,2,2,3,1
414,No,,,,
419,No,,,,
424,No,,,,
429,Yes,1,1,1,1
434,No,,,,
439,Yes,1,1,1,1
444,Yes,2,3,1,1
449,No,,,,
454,Yes,5,4,1,1
459,No,,,,
464,No,,,,
469,Yes,1,1,1,1
474,No,,,,
479,Yes,4,3,1,1
484,Yes,3,3,1,1
489,No,,,,
494,No,,,,
499,No,,,,
504,Yes,4,4,1,1
509,Yes,4,4,1,1
514,Yes,1,1,1,1
519,No,,,,
524,Yes,3,2,1,1
529,Yes,4,3,1,1
534,No,,,,
539,Yes,2,2,3,1
544,No,,,,
549,No,,,,
554,Yes,4,4,1,1
559,Yes,3,3,1,1
564,Yes,4,3,1,1
569,Yes,3,2,1,1
574,Yes,1,1,1,1
579,Yes,3,2,1,1
584,Yes,1,1,1,1
589,Yes,3,2,1,1
594,Yes,2,1,1,1
599,Yes,3,2,1,1
604,Yes,4,3,1,1
609,No,,,,
614,No,,,,
619,No,,,,
624,No,,,,
629,Yes,3,3,1,1
634,Yes,3,2,1,1
639,Yes,1,1,1,1
644,No,,,,
649,No,,,,
654,Yes,2,2,3,1
659,Yes,1,1,1,1
664,No,,,,
669,No,,,,
674,Yes,1,1,1,1
679,Yes,1,1,3,1
684,No,,,,
689,No,,,,
694,Yes,4,3,1,1
699,No,,,,
704,Yes,3,2,1,1
709,Yes,5,4,1,1
714,No,,,,
719,No,,,,
724,Yes,1,1,1,1
729,No,,,,
734,No,,,,
739,No,,,,
744,No,,,,
749,No,,,,
754,No,,,,
759,Yes,1,1,3,1
764,Yes,4,3,1,1
769,Yes,1,1,3,1
774,No,,,,
779,No,,,,
784,No,,,,
789,No,,,,
794,Yes,3,2,3,1
799,Yes,3,2,3,1
804,Yes,1,1,1,1
809,Yes,1,1,1,1
814,No,,,,
819,No,,,,
824,No,,,,
829,Yes,5,4,3,1
834,Yes,4,2,2,1
839,Yes,4,3,2,1
844,Yes,3,2,2,1
849,Yes,2,2,1,1
854,Yes,3,2,1,1
859,Yes,1,1,1,1
864,No,,,,
869,Yes,1,1,1,1
874,No,,,,
879,Yes,4,3,2,1
884,Yes,1,1,1,1
889,Yes,1,1,1,1
894,Yes,4,2,5,1
899,Yes,4,5,3,1
904,No,,,,
909,Yes,1,1,1,1
914,Yes,3,2,2,1
919,No,,,,
924,Yes,3,2,5,2
929,No,,,,
934,Yes,3,2,1,1
939,No,,,,
944,No,,,,
949,Yes,1,1,2,3
954,Yes,5,3,4,1
959,No,,,,
964,Yes,2,1,2,1
969,,,,,
974,,,,,
979,,,,,
984,,,,,
989,,,,,
994,,,,,
999,,,,,
1004,,,,,
1009,,,,,
1014,,,,,
1019,,,,,
1024,,,,,
1029,,,,,
1034,,,,,
1039,,,,,
1044,,,,,
1049,,,,,
1054,,,,,
1059,,,,,
1064,,,,,
1069,,,,,
1074,,,,,
1079,,,,,
1084,,,,,
1089,,,,,
1094,,,,,
1099,,,,,
1104,,,,,
1109,,,,,
1114,,,,,
1119,,,,,
1124,,,,,
1129,,,,,
1134,,,,,
1139,,,,,
1144,,,,,
1149,,,,,
1154,,,,,
1159,,,,,
1164,,,,,
1169,,,,,
1174,,,,,
1179,,,,,
7,No,,,,
15,No,,,,
22,No,,,,
30,Yes,1,1,2,1
37,No,,,,
45,Yes,4,2,5,1
52,No,,,,
60,Yes,2,1,1,3
67,No,,,,
75,Yes,1,1,1,1
82,Yes,1,1,1,1
90,Yes,3,2,4,2
97,Yes,5,4,2,1
105,No,,,,
